IBGE,Metropolitan Area,Month,Food and Beverages,Housing,Household Goods,Clothing,Transportation,Healthcare,Personal Expenses,Education,Communication
,Belem,1/1/2012,32.0015,12.1479,5.6793,9.3929,13.7599,10.5512,7.8447,4.5025,4.1202
,Belem,1/2/2012,31.932,12.1704,5.6756,9.3896,13.7915,10.5863,7.8364,4.5027,4.1156
,Belem,1/3/2012,31.8767,12.2358,5.6299,9.2732,13.6553,10.586,7.9009,4.7489,4.0933
,Belem,1/4/2012,32.0399,12.2142,5.6247,9.1643,13.6079,10.5653,7.9633,4.7548,4.0657
,Belem,1/5/2012,32.1801,12.181,5.5294,9.1471,13.5255,10.6197,8.0664,4.7236,4.0273
,Belem,1/6/2012,32.4112,12.1673,5.5062,9.1225,13.4079,10.6159,8.0849,4.692,3.9921
,Belem,1/7/2012,32.6107,12.1578,5.4947,9.1033,13.3219,10.5937,8.079,4.6577,3.9812
,Belem,1/8/2012,32.832,12.0987,5.4679,9.0671,13.2992,10.541,8.0816,4.6378,3.9747
,Belem,1/9/2012,32.8001,12.1573,5.4702,9.0275,13.4336,10.5138,8.0392,4.6231,3.9351
,Belem,1/10/2012,32.9945,12.1831,5.4405,9.0254,13.347,10.4932,8.0194,4.5911,3.9059
,Belem,1/11/2012,33.5485,11.9598,5.401,9.0211,13.2501,10.4471,7.9285,4.5451,3.8987
,Belem,1/12/2012,33.7166,12.056,5.4054,8.9958,13.1676,10.364,7.9277,4.4964,3.8704
,Belem,1/1/2013,33.778,12.101,5.3496,9.0129,13.1591,10.334,7.9602,4.4629,3.8424
,Belem,1/2/2013,34.1714,11.7338,5.3244,8.9788,13.1859,10.3416,7.9975,4.4504,3.8164
,Belem,1/3/2013,34.584,11.1237,5.3386,8.9852,13.2165,10.3347,7.9837,4.6388,3.7948
,Belem,1/4/2013,34.6394,11.1594,5.3415,9.0027,13.1232,10.3256,7.9842,4.6504,3.7736
,Belem,1/5/2013,34.6808,11.2475,5.3477,8.9533,12.9833,10.3965,7.9977,4.6335,3.7596
,Belem,1/6/2013,34.6027,11.2969,5.3302,8.9668,12.9684,10.4645,7.9785,4.6344,3.7576
,Belem,1/7/2013,34.6727,11.2847,5.3215,8.984,12.9443,10.4708,7.9531,4.6268,3.7421
,Belem,1/8/2013,34.7016,11.2814,5.31,8.9392,12.9337,10.4312,8.059,4.6181,3.7258
,Belem,1/9/2013,34.4122,11.6336,5.3082,8.9238,12.9063,10.4224,8.0556,4.6284,3.7096
,Belem,1/10/2013,34.2841,11.734,5.3695,8.9585,12.9122,10.402,8.0359,4.6128,3.6909
,Belem,1/11/2013,34.1958,11.8686,5.4043,9.0568,12.8594,10.3309,8.0184,4.5949,3.671
,Belem,1/12/2013,34.0335,11.8537,5.3813,9.1687,12.8662,10.3773,8.085,4.5785,3.6559
,Belem,1/1/2014,33.8984,11.8889,5.3701,9.1834,12.9954,10.3501,8.0978,4.5596,3.6563
,Belem,1/2/2014,33.782,11.9076,5.432,9.2583,12.8452,10.384,8.1692,4.566,3.6557
,Belem,1/3/2014,33.7484,11.8675,5.4737,9.1228,12.7424,10.4525,8.1521,4.7955,3.6452
,Belem,1/4/2014,33.6944,11.9174,5.4628,9.0895,12.828,10.4694,8.1474,4.7881,3.6029
,Belem,1/5/2014,33.7844,11.9089,5.4786,9.0168,12.7918,10.5355,8.1351,4.7582,3.5906
,Belem,1/6/2014,34.0129,11.9822,5.479,8.911,12.7431,10.4579,8.1472,4.707,3.5598
,Belem,1/7/2014,34.0756,11.9678,5.4248,8.8352,12.8704,10.4275,8.1862,4.6767,3.5358
,Belem,1/8/2014,34.0796,11.964,5.4478,8.8542,12.7601,10.4482,8.2091,4.68,3.5571
,Belem,1/9/2014,33.7882,12.6921,5.4285,8.7565,12.6917,10.3766,8.1308,4.6244,3.5113
,Belem,1/10/2014,33.8678,12.8624,5.3781,8.7216,12.6628,10.3345,8.0741,4.6077,3.4911
,Belem,1/11/2014,33.8401,12.8497,5.3866,8.7036,12.6621,10.3262,8.1359,4.615,3.4808
,Belem,1/12/2014,34.0893,12.71,5.3492,8.7017,12.6588,10.2885,8.1204,4.608,3.4742
,Belem,1/1/2015,34.0853,12.6492,5.3697,8.7758,12.7131,10.2875,8.1135,4.5642,3.4417
,Belem,1/2/2015,33.9656,12.9396,5.3536,8.7015,12.6674,10.2194,8.2024,4.5298,3.4206
,Belem,1/3/2015,33.9298,13.1057,5.3004,8.6642,12.5673,10.175,8.1382,4.7258,3.3936
,Belem,1/4/2015,33.7867,13.3355,5.2942,8.6443,12.5919,10.1684,8.1103,4.7263,3.3424
,Belem,1/5/2015,33.8365,13.1988,5.3146,8.6058,12.6262,10.2981,8.1156,4.6814,3.3229
,Belem,1/6/2015,34.152,12.9977,5.2614,8.6075,12.6991,10.2321,8.1103,4.6389,3.301
,Belem,1/7/2015,34.1504,12.9889,5.2382,8.5534,12.8151,10.1846,8.2011,4.5886,3.2797
,Belem,1/8/2015,34.1012,12.9205,5.2589,8.4955,12.8659,10.2558,8.233,4.5771,3.2921
,Belem,1/9/2015,34.1356,13.0843,5.2876,8.4922,12.6246,10.2796,8.2593,4.5579,3.2789
,Belem,1/10/2015,34.1571,13.0228,5.2232,8.4897,12.6261,10.3579,8.3148,4.5463,3.262
,Belem,1/11/2015,34.2744,13.1363,5.1876,8.3762,12.6006,10.3398,8.3172,4.515,3.2529
,Belem,1/12/2015,34.5569,13.0102,5.165,8.3978,12.5136,10.3033,8.3049,4.4821,3.2663
,Belem,1/1/2016,34.4479,13.1542,5.1422,8.4706,12.6444,10.2366,8.2391,4.4375,3.2276
,Belem,1/2/2016,34.6911,13.0959,5.1016,8.4435,12.5641,10.2296,8.2621,4.4061,3.206
,Belem,1/3/2016,34.9518,12.8856,5.1189,8.3592,12.4254,10.2195,8.2107,4.6583,3.1705
,Belem,1/4/2016,35.2385,12.6879,5.1507,8.3488,12.3727,10.2328,8.2198,4.6562,3.0925
,Belem,1/5/2016,35.3462,12.5176,5.1463,8.27,12.3439,10.4107,8.1711,4.6255,3.1687
,Belem,1/6/2016,35.5253,12.4677,5.0862,8.2449,12.2897,10.4473,8.2085,4.5869,3.1436
,Belem,1/7/2016,35.7268,12.4069,5.0409,8.2452,12.2383,10.4705,8.2047,4.5512,3.1153
,Belem,1/8/2016,36.1493,12.278,5.0189,8.184,12.1816,10.4556,8.1472,4.5011,3.0844
,Belem,1/9/2016,35.9809,12.4719,5.0195,8.2118,12.0835,10.4709,8.1763,4.512,3.0731
