IBGE,Metropolitan Area,Month,Year,Category,Weight,Variation
,Belem,1,2012,Food and Beverages,32.0015,0.1
,Belem,2,2012,Food and Beverages,31.932,0.38
,Belem,3,2012,Food and Beverages,31.8767,0.79
,Belem,4,2012,Food and Beverages,32.0399,1.16
,Belem,5,2012,Food and Beverages,32.1801,1.35
,Belem,6,2012,Food and Beverages,32.4112,1.18
,Belem,7,2012,Food and Beverages,32.6107,1.23
,Belem,8,2012,Food and Beverages,32.832,0.69
,Belem,9,2012,Food and Beverages,32.8001,1.45
,Belem,10,2012,Food and Beverages,32.9945,2.57
,Belem,11,2012,Food and Beverages,33.5485,1.58
,Belem,12,2012,Food and Beverages,33.7166,1
,Belem,1,2013,Food and Beverages,33.778,1.88
,Belem,2,2013,Food and Beverages,34.1714,1.76
,Belem,3,2013,Food and Beverages,34.584,0.72
,Belem,4,2013,Food and Beverages,34.6394,0.66
,Belem,5,2013,Food and Beverages,34.6808,-0.16
,Belem,6,2013,Food and Beverages,34.6027,0.53
,Belem,7,2013,Food and Beverages,34.6727,0.47
,Belem,8,2013,Food and Beverages,34.7016,-0.32
,Belem,9,2013,Food and Beverages,34.4122,-0.08
,Belem,10,2013,Food and Beverages,34.2841,0.21
,Belem,11,2013,Food and Beverages,34.1958,-0.13
,Belem,12,2013,Food and Beverages,34.0335,0.05
,Belem,1,2014,Food and Beverages,33.8984,-0.21
,Belem,2,2014,Food and Beverages,33.782,0.23
,Belem,3,2014,Food and Beverages,33.7484,0.21
,Belem,4,2014,Food and Beverages,33.6944,0.71
,Belem,5,2014,Food and Beverages,33.7844,1.72
,Belem,6,2014,Food and Beverages,34.0129,0.75
,Belem,7,2014,Food and Beverages,34.0756,0.25
,Belem,8,2014,Food and Beverages,34.0796,0.23
,Belem,9,2014,Food and Beverages,33.7882,0.84
,Belem,10,2014,Food and Beverages,33.8678,0.08
,Belem,11,2014,Food and Beverages,33.8401,1.35
,Belem,12,2014,Food and Beverages,34.0893,0.81
,Belem,1,2015,Food and Beverages,34.0853,0.37
,Belem,2,2015,Food and Beverages,33.9656,0.89
,Belem,3,2015,Food and Beverages,33.9298,-0.03
,Belem,4,2015,Food and Beverages,33.7867,0.96
,Belem,5,2015,Food and Beverages,33.8365,1.95
,Belem,6,2015,Food and Beverages,34.152,1.34
,Belem,7,2015,Food and Beverages,34.1504,0.08
,Belem,8,2015,Food and Beverages,34.1012,0.55
,Belem,9,2015,Food and Beverages,34.1356,0.32
,Belem,10,2015,Food and Beverages,34.1571,1.32
,Belem,11,2015,Food and Beverages,34.2744,1.93
,Belem,12,2015,Food and Beverages,34.5569,0.91
,Belem,1,2016,Food and Beverages,34.4479,1.47
,Belem,2,2016,Food and Beverages,34.6911,1.81
,Belem,3,2016,Food and Beverages,34.9518,1.18
,Belem,4,2016,Food and Beverages,35.2385,1.14
,Belem,5,2016,Food and Beverages,35.3462,1.26
,Belem,6,2016,Food and Beverages,35.5253,1.46
,Belem,7,2016,Food and Beverages,35.7268,2.23
,Belem,8,2016,Food and Beverages,36.1493,-0.1
,Belem,9,2016,Food and Beverages,35.9809,0.88
,Belem,10,2016,Food and Beverages,36.1414,0.18
,Belem,11,2016,Food and Beverages,36.0699,-1.2
,Belem,12,2016,Food and Beverages,35.7487,-0.32
,Belem,1,2017,Food and Beverages,35.6183,-0.46
,Belem,2,2017,Food and Beverages,35.4228,-0.75
,Belem,3,2017,Food and Beverages,35.0543,-0.13
,Belem,4,2017,Food and Beverages,35.0113,0.47
,Belem,5,2017,Food and Beverages,35.1717,-0.56
,Belem,6,2017,Food and Beverages,34.9623,0.53
,Belem,7,2017,Food and Beverages,35.0765,0.22
,Belem,8,2017,Food and Beverages,35.0257,-1.56
,Belem,9,2017,Food and Beverages,34.5232,0.13
,Belem,10,2017,Food and Beverages,34.4081,-0.57
,Belem,11,2017,Food and Beverages,34.1441,-0.91
,Belem,12,2017,Food and Beverages,33.8684,-0.77
,Belem,1,2018,Food and Beverages,33.7089,0.11
,Belem,2,2018,Food and Beverages,33.8055,-0.07
,Belem,3,2018,Food and Beverages,33.6249,-0.81
,Belem,4,2018,Food and Beverages,33.3817,-0.13
,Belem,5,2018,Food and Beverages,33.2552,0.13
,Belem,6,2018,Food and Beverages,33.165,1.72
,Belem,7,2018,Food and Beverages,33.4035,0.48
,Belem,8,2018,Food and Beverages,33.4581,-0.61
,Belem,9,2018,Food and Beverages,33.2567,-0.21
,Belem,10,2018,Food and Beverages,33.1338,0.41
,Belem,11,2018,Food and Beverages,33.126,0.01
,Belem,12,2018,Food and Beverages,33.1826,0.63
,Belem,1,2019,Food and Beverages,33.2623,0.43
,Fortaleza,1,2012,Food and Beverages,29.4595,-0.29
,Fortaleza,2,2012,Food and Beverages,29.3907,0.37
,Fortaleza,3,2012,Food and Beverages,29.4356,1.06
,Fortaleza,4,2012,Food and Beverages,29.493,1.24
,Fortaleza,5,2012,Food and Beverages,29.6379,0.95
,Fortaleza,6,2012,Food and Beverages,29.8015,0.41
,Fortaleza,7,2012,Food and Beverages,29.9739,1.15
,Fortaleza,8,2012,Food and Beverages,30.1309,1.64
,Fortaleza,9,2012,Food and Beverages,30.3987,2.1
,Fortaleza,10,2012,Food and Beverages,30.8251,1.77
