Columns,Month,,Year,IPCA12M,Target,Bottom Limit,Upper Limit
,1,1,1999,1.65,8.0,6.0,10.0
,2,1,1999,2.24,8.0,6.0,10.0
,3,1,1999,3.02,8.0,6.0,10.0
,4,1,1999,3.35,8.0,6.0,10.0
,5,1,1999,3.14,8.0,6.0,10.0
,6,1,1999,3.32,8.0,6.0,10.0
,7,1,1999,4.57,8.0,6.0,10.0
,8,1,1999,5.69,8.0,6.0,10.0
,9,1,1999,6.25,8.0,6.0,10.0
,10,1,1999,7.5,8.0,6.0,10.0
,11,1,1999,8.65,8.0,6.0,10.0
,12,1,1999,8.94,8.0,6.0,10.0
,1,1,2000,8.85,6.0,4.0,8.0
,2,1,2000,7.86,6.0,4.0,8.0
,3,1,2000,6.92,6.0,4.0,8.0
,4,1,2000,6.77,6.0,4.0,8.0
,5,1,2000,6.47,6.0,4.0,8.0
,6,1,2000,6.51,6.0,4.0,8.0
,7,1,2000,7.06,6.0,4.0,8.0
,8,1,2000,7.86,6.0,4.0,8.0
,9,1,2000,7.77,6.0,4.0,8.0
,10,1,2000,6.65,6.0,4.0,8.0
,11,1,2000,5.99,6.0,4.0,8.0
,12,1,2000,5.97,6.0,4.0,8.0
,1,1,2001,5.92,4.0,2.0,6.0
,2,1,2001,6.27,4.0,2.0,6.0
,3,1,2001,6.44,4.0,2.0,6.0
,4,1,2001,6.61,4.0,2.0,6.0
,5,1,2001,7.04,4.0,2.0,6.0
,6,1,2001,7.35,4.0,2.0,6.0
,7,1,2001,7.05,4.0,2.0,6.0
,8,1,2001,6.41,4.0,2.0,6.0
,9,1,2001,6.46,4.0,2.0,6.0
,10,1,2001,7.19,4.0,2.0,6.0
,11,1,2001,7.61,4.0,2.0,6.0
,12,1,2001,7.67,4.0,2.0,6.0
,1,1,2002,7.62,3.5,1.5,5.5
,2,1,2002,7.51,3.5,1.5,5.5
,3,1,2002,7.75,3.5,1.5,5.5
,4,1,2002,7.98,3.5,1.5,5.5
,5,1,2002,7.77,3.5,1.5,5.5
,6,1,2002,7.66,3.5,1.5,5.5
,7,1,2002,7.51,3.5,1.5,5.5
,8,1,2002,7.46,3.5,1.5,5.5
,9,1,2002,7.93,3.5,1.5,5.5
,10,1,2002,8.45,3.5,1.5,5.5
,11,1,2002,10.93,3.5,1.5,5.5
,12,1,2002,12.53,3.5,1.5,5.5
,1,1,2003,14.47,4.0,1.5,6.5
,2,1,2003,15.85,4.0,1.5,6.5
,3,1,2003,16.57,4.0,1.5,6.5
,4,1,2003,16.77,4.0,1.5,6.5
,5,1,2003,17.24,4.0,1.5,6.5
,6,1,2003,16.57,4.0,1.5,6.5
,7,1,2003,15.43,4.0,1.5,6.5
,8,1,2003,15.07,4.0,1.5,6.5
,9,1,2003,15.14,4.0,1.5,6.5
,10,1,2003,13.98,4.0,1.5,6.5
,11,1,2003,11.02,4.0,1.5,6.5
