,Category,Item,Weight,Variation
,Food and Beverages,Cereals and oilseeds,0.8417,3.46
,Food and Beverages,Flours and pastas,0.6745,3.19
,Food and Beverages,Roots and legumes,0.5532,39.14
,Food and Beverages,Sugar,0.8462,-3.39
,Food and Beverages,Vegetables and greens,0.2111,10.76
,Food and Beverages,Fruits,0.9341,13.86
,Food and Beverages,Meat,2.6682,2.29
,Food and Beverages,Fish,0.3259,2.6
,Food and Beverages,Processed meat and fish,0.7847,0.32
,Food and Beverages,Edible birds and eggs,1.0267,3.21
,Food and Beverages,Milk and dairy,1.8904,6.21
,Food and Beverages,Bakeries,1.9411,4.37
,Food and Beverages,Oil and fat,0.4459,1.45
,Food and Beverages,Beverages and infusions,1.9446,-0.4
,Food and Beverages,Canned food,0.1608,3.42
,Food and Beverages,Salt and seasonings,0.4224,-0.33
,Food and Beverages,Eating out,8.908,3.18
,Housing,Rent and fees,7.3863,3.38
,Housing,Repairs,2.4625,2.4
,Housing,Cleaning products,0.8539,4.83
,Housing,Fuel (domestic),1.4022,5.23
,Housing,Eletricity bill,3.6169,8.71
,Household Goods,Furniture,1.2441,2.97
,Household Goods,Utensils and decoration,0.5418,4.33
,Household Goods,"Bedding, Dinnerware and Bath",0.3017,6.2
,Household Goods,Home Appliances and Equipment,0.9372,6.29
,Household Goods,"TV, audio and computers",0.6035,-1.56
,Household Goods,Mending and Maintenance,0.3545,5.69
,Clothing,Men Clothing,1.4272,0.48
,Clothing,Women Clothing,1.6845,1.28
,Clothing,Kids Clothing,0.6651,0.34
,Clothing,Shoes,1.7576,-0.9
,Clothing,Jewlery and bijou,0.3408,5.33
,Clothing,Fabrics and haberdashery,0.0842,3.87
,Transportation,Public Transportation,4.6977,6.78
,Transportation,Own vehicle,8.1098,1.34
,Transportation,Fuel (vehicle),5.4765,6.17
,Healthcare,Pharmaceutical products,3.4639,1.63
,Healthcare,Optical products,0.2515,0.82
,Healthcare,Medical and dental services,1.1716,3.97
,Healthcare,Laboratory and hospital services,0.5808,4
,Healthcare,Healthcare plan,3.9002,11.17
,Healthcare,Personal hygiene,2.6758,-3.22
,Personal Expenses,Personal services,6.8381,3.75
,Personal Expenses,Leisure,2.9609,1.28
,Personal Expenses,Smoking,1.0825,2.46
,Personal Expenses,Photography and Filming,0.0744,7
,Education,Regular courses,3.1134,5.68
,Education,Reading,0.5458,5.73
,Education,Stationary,0.3603,3.37
,Education,Miscellaneous Courses,0.807,4.53
,Communication,Communication,3.6464,-0.09
